lat;lon;Omset.Penjualan;Jarak Ke Indomaret
-7.27583;112.72611;200000;0.000227173
-7.27472;112.72472;75000;0.000194762
-7.28;112.75083;60000;6.30E-05
-7.27722;112.72583;50000;0.000270593
-7.27917;112.71222;750000;0.000188012
-7.24222;112.77028;400000;1.94E-05
-7.26472;112.74;300000;7.08E-05
-7.32222;112.78167;3000000;3.19E-05
-7.32333;112.7825;1000000;1.85E-05
-7.3225;112.78222;2000000;2.55E-05
-7.32194;112.77333;100000;0.000173985
-7.32306;112.78306;500000;1.65E-05
-7.32333;112.78167;800000;2.48E-05
-7.32222;112.78306;300000;2.21E-05
-7.27472;112.72417;50000;0.000195739
-7.26;112.64583;400000;0.001189875
-7.23083;112.61028;3000000;0.001208737
-7.32806;112.67806;1000000;0.002736989
-7.235;112.60806;2000000;0.001134787
-7.23583;112.60806;400000;0.001101538
-7.30083;112.75722;200000;0.000877685
-7.34306;112.72667;1500000;0.000208391
-7.345;112.72472;200000;0.000254575
-7.32806;112.76972;500000;0.000265792
-7.32194;112.77278;400000;0.000188102
-7.3275;112.76972;1000000;0.000263767
-7.32222;112.77194;3000000;0.000208651
-7.33556;112.80167;100000;4.14E-06
-7.33417;112.76583;300000;0.001151083
-7.27583;112.71194;500000;0.000290943
-7.28889;112.72639;500000;0.000791414
-7.28778;112.71806;200000;0.000782021
-7.28778;112.72861;200000;0.000739857
-7.28278;112.72;600000;0.000512542
-7.28417;112.72028;200000;0.000572732
-7.27611;112.72583;200000;0.000235324
-7.32528;112.78278;300000;1.01E-05
-7.27833;112.72583;250000;0.000308327
-7.27972;112.75111;150000;6.13E-05
-7.27639;112.72139;700000;0.000259291
-7.27611;112.72111;300000;0.000252914
-7.24861;112.76583;1500000;0.000146687
-7.25333;112.75806;1000000;0.000437659
-7.275;112.72139;2000000;0.000217821
-7.27472;112.72139;50000;0.000209935
-7.3075;112.75278;10000000;3.55E-05
-7.30833;112.755;1000000;1.35E-05
-7.32472;112.735;10000000;0.00071681
-7.32667;112.73361;300000;0.000840643
-7.25722;112.76639;500000;0.000372671
-7.2575;112.75917;500000;0.000538782
-7.25028;112.76;700000;0.000304945
-7.27056;112.72222;250000;0.000105385
-7.27056;112.72056;900000;0.000118477
-7.27083;112.72306;200000;0.000106215
-7.27;112.72361;700000;8.80E-05
-7.27528;112.72556;100000;0.000210366
-7.27556;112.725;300000;0.000218625
-7.28889;112.72667;40000;0.000792084
-7.28722;112.72778;500000;0.000705177
-7.20139;112.7175;150000;0.003588269
-7.27972;112.71111;300000;0.000561111
-7.24917;112.76611;150000;0.008479378
-7.33222;112.76944;500000;0.000925819
-7.33417;112.76806;800000;0.001004773
-7.33278;112.77;500000;0.00088951
-7.33222;112.77;500000;0.000892185
-7.33972;112.77667;200000;0.000556026
-7.32;112.78028;1000000;6.71E-05
-7.24139;112.72222;3000000;0.000134869
-7.24083;112.72389;500000;0.000116643
-7.23694;112.7325;2000000;0.000450345
-7.23694;112.73222;2000000;0.000450642
-7.25972;112.71694;1000000;7.16E-05
-7.28194;112.71722;300000;0.000513666
-7.28389;112.72056;700000;0.00055696
-7.29333;112.70806;300000;3.94E-05
-7.31278;112.69;700000;7.80E-05
-7.27444;112.72444;100000;0.000187454
-7.275;112.72028;2500000;0.000227808
-7.25556;112.73528;110000;0.000126161
-7.27667;112.71722;100000;0.000318389
-7.23444;112.72611;3000000;0.000396309
-7.27917;112.7175;400000;0.000399635
-7.23417;112.72583;300000;0.000390148
-7.2755;112.72655;800000;0.000218224
-7.27542;112.72637;500000;0.000215469
-7.33383;112.74816;300000;0.000661932
-7.29;112.76056;200000;0.000470071
-7.29111;112.76306;500000;0.001234404
-7.28194;112.78611;2000000;0.000205926
-7.28194;112.78583;200000;0.000212756
-7.28278;112.78583;800000;0.000200388
-7.2825;112.78722;200000;0.00017199
-7.30472;112.795;100000;0.000234961
-7.30361;112.76306;700000;0.001425348
-7.2675;112.71889;100000;8.67E-05
-7.33611;112.77167;200000;0.000789978
